clip,note,mcp_pt,svr,first,second,winner,status,gms,pts
t3_point_28,,67,2,4f28f+3s3z1*,,2,matched,5-4,0-30
t3_point_29,,70,2,4b37b+1f3d#,,2,matched,5-4,40-30
t3_point_30,,77,2,4b37f1f1f1f2f3s3b3b1f3b1*,,1,matched,6-5,15-0
t3_point_31,dup of 30,77,2,4b37f1f1f1f2f3s3b3b1f3b1*,,1,matched,6-5,15-0
t3_point_32,dup of 30,77,2,4b37f1f1f1f2f3s3b3b1f3b1*,,1,matched,6-5,15-0
t3_point_33,tiebreak set 1,81,1,6b28f3b2f3b3f2f1f1f2b3b3b2f1f1f3*,,2,matched,6-6,0-0
t3_point_34,tiebreak,82,2,4+m19f2f1f2f2f3b3f3b1f1u3s3s3z1*,,2,matched,6-6,1-0
t3_point_35,tiebreak,84,1,4b38f1*,,1,matched,6-6,0-3
t3_point_36,tiebreak,87,2,4*,,2,matched,6-6,5-1
t3_point_37,set 2,98,1,6b38f3b2f3b3f1f1w#,,1,matched,0-1,30-40
t3_point_38,,107,2,6s37s3*,,2,matched,0-2,40-15
t3_point_39,,124,2,6b18f3s2f1*,,2,matched,2-4,0-0
t3_point_40,,125,2,4n,4f;29b2f+2b2z3m3o1f2v3*,1,matched,2-4,15-0
t3_point_41,no bug: dissolve/close-up false positive,,,,,,NO MATCH,,
t3_point_42,,128,2,5b28f2f2f3s2n@,,2,matched,2-4,30-30
t3_point_43,,129,2,4b39b2f+1l1o=3n@,,2,matched,2-4,40-30
t3_point_44,,135,1,5f28f1*,,1,matched,2-5,30-40
t3_point_45,,136,1,4f28f+3m2o1*,,1,matched,2-5,40-40
t3_point_46,,137,1,6d,4b28b3b1d@,1,matched,2-5,AD-40
t3_point_47,set 3,144,1,5b28f1f2j+2b3z3b3*,,2,matched,0-0,15-15
t3_point_48,,147,1,6f2n#,,1,matched,0-0,40-30
t3_point_49,,152,1,4f18f1f2b3b2b2f2f1f3s3y3b2f3z1*,,1,matched,1-1,0-0
t3_point_50,,153,1,4+b37v1*,,1,matched,1-1,15-0
t3_point_51,,156,1,4w,6b38f3b3b3f1*,2,matched,1-1,30-30
t3_point_52,break point banner,157,1,4b38b3b1n@,,1,matched,1-1,30-40
t3_point_53,,159,1,6w,5b38b3b1n#,1,matched,1-1,AD-40
t3_point_54,,160,2,6d,4f29f3s1f1f2b3s2f1*,2,matched,2-1,0-0
t3_point_55,,161,2,6f37f1*,,2,matched,2-1,15-0
t3_point_56,,162,2,6w,5b28f1*,2,matched,2-1,30-0
t3_point_57,,163,2,6f38f3b2f3*,,2,matched,2-1,40-0
t3_point_58,,182,1,4b38f1l3o=3*,,1,matched,3-3,40-30
t3_point_59,no bug visible at clip start,,,,,,NO MATCH,,
t3_point_60,,183,2,4f38b3b2j+1f2v2n@,,1,matched,4-3,0-0
t3_point_61,server mark cropped; game sequence implies Djokovic,188,2,6f#,,2,matched,4-3,40-30
t3_point_62,,189,1,6d,5b28b1f2f2b2f1f2f2f1*,2,matched,4-4,0-0
t3_point_63,,199,1,4f37b3b3b3b1*,,2,matched,5-5,0-0
t3_point_64,,201,1,5b29f1f3b3f2f2f1f1f1*,,2,matched,5-5,0-30
t3_point_65,triple break point banner,202,1,4b28f3b2b2b2f3b2f3b3b3b3b2f1r2b3b3b3*,,2,matched,5-5,0-40
t3_point_66,,205,2,6b27f1*,,2,matched,5-6,30-0
t3_point_67,championship point,206,2,4+m2o=3s2f1w@,,1,matched,5-6,40-0
t3_point_68,,207,2,4d,6f17f3b3b3b3b3s2f3s2f1f1w#,2,matched,5-6,40-15
