clip,note,mcp_pt,svr,first,second,winner,status,gms,pts
t5_point_44,,126,1,6w,5b38b2b2b1f1f2f1f1f1f1f3b3b2u3n@,2,matched,5-6,30-15
t5_point_45,,127,1,6d,4f17f1f1u+3s-1v3f2o1f3b3s3f2f1f1f+3b2z1f3z3b-1*,1,matched,5-6,30-30
t5_point_46,,128,1,4d,5b29f3b3b3b3b2f2b2b3b3b1f1f;1w@,1,matched,5-6,40-30
t5_point_47,7 POINT TIEBREAK; Zverev serves first,129,2,c4f17f1f1f3b#,,2,matched,6-6,0-0
t5_point_48,tiebreak,130,1,4s27j1*,,1,matched,6-6,0-1
t5_point_49,tiebreak,133,2,5b28f3b2f2f1r2f1f1w@,,1,matched,6-6,2-2
t5_point_50,tiebreak,134,1,4b29f2f1f2f3b3b3b3b3b2b1f1f3b3b3b3b2b2f1f1w#,,2,matched,6-6,3-2
t5_point_51,tiebreak,136,2,4n,5f3w#,2,matched,6-6,3-4
t5_point_52,tiebreak,137,2,4f29b2f;3*,,1,matched,6-6,4-4
t5_point_53,set 3 era,140,1,4f19f1f3b2b3b3b2b1f2f1f1n@,,1,matched,0-0,0-0
t5_point_54,,141,1,6w,4b39b2f1f2f3*,2,matched,0-0,15-0
t5_point_55,,142,1,4r19f2b3b3b3b2f3b3f1f2f3b3b3b3b1w@,,1,matched,0-0,15-15
t5_point_56,,143,1,4w,5f39b3b3b3b3b1f2b1r1f1f1f2b+3b3*,1,matched,0-0,30-15
t5_point_57,,144,1,6s28f3b3b3b2f2f1n@,,1,matched,0-0,40-15
t5_point_58,,146,2,4b39f3s3f1f1f1f2f3b2f1f1f2f3s#,,1,matched,1-0,15-0
t5_point_59,,150,2,6f#,,2,matched,1-0,40-30
t5_point_60,,152,1,6w,5b38b2b3b2b3b2f3b3b1f1f1f1f2d@,1,matched,1-1,15-0
t5_point_61,,159,2,4f3n#,,2,matched,2-1,40-15
t5_point_62,,161,1,5d,5b28f1f1f3*,1,matched,2-2,15-0
t5_point_63,,165,2,4d,4b39b3b2f3b2f2f1f1f1f1d@,1,matched,3-2,0-15
t5_point_64,2 BREAK POINTS,168,2,6d,4f17f2b2b1f2f3b3f3b3b1*,2,matched,3-2,15-40
t5_point_65,BREAK POINT #2,169,2,4w,6f28b2f1f1d#,1,matched,3-2,30-40
t5_point_66,,174,1,5d,5f29f1f1f1f3*,2,matched,4-2,40-15
t5_point_67,order-resolved,177,1,6f29f1f1f1f3b2d@,,2,matched,4-2,AD-40
t5_point_68,,186,1,4b29f1f1f+3*,,1,matched,5-3,0-15
t5_point_69,,188,1,6f19f1f1f1f2b2b2f1f1f2d@,,2,matched,5-3,30-15
t5_point_70,,189,1,6d,4f19f1f2b1f1f2b2f1f1f1f3w@,1,matched,5-3,30-30
t5_point_71,CHAMPIONSHIP POINT,190,1,4d,5b38b3b3b1f2b2b2b1f1u1f-3b3*,1,matched,5-3,40-30
