clip,note,mcp_pt,svr,first,second,winner,status,gms,pts
g1_point_41,ocr-auto; mcp_pt 41,41,1,4r18f+39b2v17*,,1,matched,4-2,40-15
g1_point_42,ocr-auto; mcp_pt 42,42,2,4f28f38b38b;3n@,,1,matched,5-2,0-0
g1_point_43,ocr-auto; mcp_pt 43,43,2,4b39b28b18r17f+19f2d@,,1,matched,5-2,0-15
g1_point_44,ocr-auto; mcp_pt 44,44,2,6n,5b29b2d@,1,matched,5-2,0-30
g1_point_45,ocr-auto; mcp_pt 45,45,2,6f39f3n#,,1,matched,5-2,0-40
g1_point_47,ocr-auto; mcp_pt 47,47,1,4d,4b38b19r2n#,1,matched,0-0,0-15
g1_point_50,ocr-auto; mcp_pt 50,50,1,5f17f19f1n#,,1,matched,0-0,40-15
g1_point_52,ocr-auto; mcp_pt 52,52,2,6n,5n,1,matched,1-0,15-0
g1_point_53,ocr-auto; mcp_pt 53,53,2,6x;,6b18*,1,matched,1-0,15-15
g1_point_55,ocr-auto; mcp_pt 55,55,2,6*,,2,matched,1-0,15-40
g1_point_56,ocr-auto; mcp_pt 56,56,2,5f2d#,,2,matched,1-0,30-40
g1_point_57,ocr-auto; mcp_pt 57; order-resolved,57,2,5f1x#,,2,matched,1-0,40-40
g1_point_58,ocr-auto; mcp_pt 58,58,2,6f38b3n@,,1,matched,1-0,AD-40
g1_point_59,ocr-auto; mcp_pt 59; order-resolved,59,2,6b18f3n@,,1,matched,1-0,40-40
g1_point_60,ocr-auto; mcp_pt 60,60,2,4b38b39b19f1w@,,1,matched,1-0,40-AD
g1_point_62,ocr-auto; mcp_pt 62,62,1,4b38b37*,,1,matched,2-0,15-0
g1_point_63,ocr-auto; mcp_pt 63,63,1,6b28b18r2d#,,1,matched,2-0,30-0
g1_point_64,ocr-auto; mcp_pt 64,64,1,4n,4b+38b19*,1,matched,2-0,40-0
g1_point_65,ocr-auto; mcp_pt 65,65,2,4f28f;38b38b38b18f18f3d@,,2,matched,3-0,0-0
g1_point_66,ocr-auto; mcp_pt 66,66,2,6n,4b38b19f38*,1,matched,3-0,15-0
g1_point_69,ocr-auto; mcp_pt 69,69,2,6b39b38b1n@,,2,matched,3-0,15-40
g1_point_70,ocr-auto; mcp_pt 70,70,2,4d,4b38*,1,matched,3-0,30-40
g1_point_72,ocr-auto; mcp_pt 72,72,1,4d,6f38*,2,matched,4-0,15-0
g1_point_76,ocr-auto; mcp_pt 76,76,1,5n,4b2d@,1,matched,4-0,40-30
g1_point_78,ocr-auto; mcp_pt 78,78,2,5b39b29f38b28f18f2d#,,1,matched,5-0,15-0
g1_point_82,ocr-auto; mcp_pt 82,82,2,4b38b27b38b29b18f39*,,2,matched,5-0,40-30
g1_point_84,ocr-auto; mcp_pt 84,84,1,4n,4b27b38b39b39b38b1w@,2,matched,5-1,15-0
g1_point_85,ocr-auto; mcp_pt 85,85,1,5d,5b;28f+39m2f-17l1o37*,1,matched,5-1,15-15
g1_point_88,ocr-auto; mcp_pt 88,88,1,4s2d#,,1,matched,5-1,40-30
