clip,set1,set2,gm1,gm2,pts,server_bug,note
t6_point_81,,,,,,,adjudicated: first-serve fault 4w (MCP Pt105); second-serve point in 82
t6_point_82,1,0,2,0,0-0,1,0-0 fragment pair with 81
t6_point_83,1,0,2,0,15-0,1,
t6_point_84,1,0,2,0,30-0,1,
t6_point_85,1,0,2,0,40-0,1,
t6_point_86,1,0,3,1,0-0,1,0-0 fragment pair with 87
t6_point_87,,,,,,,adjudicated: aftermath fragment; serve+rally in 86 (MCP Pt117 2nd-serve point)
t6_point_88,1,0,3,1,15-0,1,
t6_point_89,1,0,3,1,15-15,1,
t6_point_90,1,0,3,1,15-30,1,
t6_point_91,1,0,3,1,15-40,1,
t6_point_92,1,0,3,1,30-40,1,
t6_point_93,1,0,3,2,0-0,2,
t6_point_94,1,0,3,2,0-15,2,
t6_point_95,1,0,3,2,0-30,2,
t6_point_96,1,0,3,2,15-40,2,
t6_point_97,1,0,3,2,30-40,2,
t6_point_98,1,0,3,2,40-40,2,
t6_point_99,1,0,3,3,0-0,1,
t6_point_100,1,0,3,3,15-0,1,
t6_point_101,1,0,3,3,30-0,1,
t6_point_102,1,0,3,3,30-15,1,
t6_point_103,1,0,3,3,30-30,1,
t6_point_104,1,0,3,3,30-40,1,
t6_point_105,1,0,3,4,0-0,2,
t6_point_106,1,0,3,4,0-15,2,
t6_point_107,1,0,3,4,0-30,2,
t6_point_108,1,0,3,4,15-30,2,
t6_point_109,1,0,3,4,30-30,2,
t6_point_110,1,0,3,4,40-40,2,
t6_point_111,1,0,3,4,40-AD,2,Pegula AD
t6_point_112,1,0,3,5,0-0,1,
t6_point_113,1,0,3,5,0-15,1,
t6_point_114,1,0,3,5,15-15,1,
t6_point_115,1,0,3,5,30-15,1,
t6_point_116,1,0,3,5,40-15,1,
t6_point_117,1,0,3,5,40-30,1,
t6_point_118,,,,,,,adjudicated: walk-up fragment (SERVING FOR THE SET banner); serve in 119
t6_point_119,1,0,4,5,0-0,2,0-0 fragment trio
t6_point_120,,,,,,,adjudicated: rally tail of mid-rally cutaway split; serve+head in 119 (MCP Pt151 15 strikes ~= 119+120 crossings)
t6_point_121,1,0,4,5,15-0,2,
t6_point_122,1,0,4,5,30-0,2,
t6_point_123,1,0,4,5,40-0,2,
t6_point_124,1,0,4,5,40-15,2,
t6_point_125,1,0,4,5,40-30,2,
t6_point_126,1,0,5,5,0-0,1,
t6_point_127,1,0,5,5,15-15,1,
t6_point_128,1,0,5,5,30-15,1,
t6_point_129,1,0,5,5,40-15,1,
t6_point_130,1,0,6,5,0-0,2,
t6_point_131,1,0,6,5,0-15,2,
t6_point_132,1,0,6,5,15-15,2,
t6_point_133,1,0,6,5,30-15,2,
t6_point_134,1,0,6,5,40-15,2,CHAMPIONSHIP POINT
t6_point_135,1,0,6,5,40-30,2,CHAMPIONSHIP POINT #2
