clip,set1,set2,gm1,gm2,pts,server_bug,note
t7_point_111,0,1,6,6,5-4,2,tiebreak
t7_point_112,0,1,6,6,6-4,2,tiebreak; SET POINTS Djokovic
t7_point_113,,,,,,,adjudicated: walk-up + first-serve deep fault 5d (MCP Pt150); second serve in 114
t7_point_114,1,1,0,0,0-0,2,0-0 fragment trio
t7_point_115,,,,,,,adjudicated: rally tail of mid-rally split; serve+head in 114 (11-strike rally spans both)
t7_point_116,1,1,0,0,15-0,2,
t7_point_117,1,1,0,0,15-15,2,
t7_point_118,1,1,0,0,30-15,2,
t7_point_119,1,1,0,0,30-30,2,
t7_point_120,1,1,0,0,30-40,2,
t7_point_121,1,1,0,1,0-0,1,
t7_point_122,1,1,0,1,30-0,1,
t7_point_123,1,1,0,1,40-0,1,
t7_point_124,1,1,1,1,0-15,2,
t7_point_125,1,1,1,1,0-30,2,
t7_point_126,1,1,1,1,0-40,2,
t7_point_127,1,1,2,2,0-0,2,
t7_point_128,1,1,2,2,0-15,2,
t7_point_129,1,1,2,2,0-30,2,
t7_point_130,1,1,2,2,15-30,2,
t7_point_131,1,1,2,2,15-40,2,
t7_point_132,1,1,2,4,0-0,2,
t7_point_133,1,1,2,4,0-15,2,
t7_point_134,1,1,2,4,15-15,2,
t7_point_135,1,1,2,4,30-15,2,
t7_point_136,1,1,2,4,30-30,2,
t7_point_137,1,1,2,4,40-30,2,
t7_point_138,1,1,2,4,40-40,2,
t7_point_139,1,1,2,4,AD-40,2,Djokovic AD
t7_point_140,1,1,3,4,0-0,1,
t7_point_141,1,1,3,4,15-0,1,
t7_point_142,1,1,3,4,30-0,1,
t7_point_143,1,1,3,4,40-0,1,
t7_point_144,,,,,,,adjudicated: first-serve fault 4d (MCP Pt191); second-serve point in 145
t7_point_145,1,1,4,4,0-0,2,0-0 fragment pair with 144
t7_point_146,1,1,4,4,0-15,2,
t7_point_147,1,1,4,4,0-30,2,
t7_point_148,1,1,4,4,0-40,2,
t7_point_149,1,1,5,5,0-0,2,
t7_point_150,1,1,5,5,15-0,2,
t7_point_151,1,1,5,5,15-15,2,
t7_point_152,1,1,5,5,30-15,2,
t7_point_153,1,1,5,5,30-30,2,
t7_point_154,1,1,5,5,30-40,2,
t7_point_155,1,1,5,6,0-0,1,
t7_point_156,1,1,5,6,15-0,1,
t7_point_157,1,1,5,6,30-0,1,
t7_point_158,1,1,5,6,40-0,1,
t7_point_159,1,1,6,6,0-0,2,tiebreak; Sinner serves first
t7_point_160,1,1,6,6,0-1,1,tiebreak
t7_point_161,1,1,6,6,0-2,1,tiebreak
t7_point_162,1,1,6,6,0-3,2,tiebreak
t7_point_163,1,1,6,6,0-4,2,tiebreak
t7_point_164,1,1,6,6,0-5,1,tiebreak
t7_point_165,1,1,6,6,1-6,2,tiebreak; CHAMPIONSHIP POINTS Sinner
t7_point_166,1,1,6,6,2-6,2,tiebreak
